identifiant,timestamp,timestamp_string,nombre_impressions,prix_impression,prix_total,achat,budget_depense,bt,cible
84,1593146270,06-26-2020 06:37:50,10,1,10,1,183,0.060237369755598645,0.05952380952380952
85,1593146276,06-26-2020 06:37:56,4,1,4,1,187,0.06003196590303676,0.05952380952380952
86,1593146278,06-26-2020 06:37:58,3,1,3,1,190,0.059949278605374766,0.05952380952380952
87,1593146282,06-26-2020 06:38:02,0,1,0,1,190,0.059890449498071145,0.05952380952380952
88,1593146283,06-26-2020 06:38:03,3,1,3,1,193,0.05989172599002515,0.05952380952380952
89,1593146285,06-26-2020 06:38:05,1,1,1,1,194,0.05983033506692813,0.05952380952380952
90,1593146287,06-26-2020 06:38:07,6,1,6,1,200,0.0598115701070043,0.05952380952380952
91,1593146289,06-26-2020 06:38:09,5,1,5,1,205,0.059686221009549796,0.05952380952380952
92,1593146296,06-26-2020 06:38:16,5,1,5,1,210,0.05958853000746189,0.05952380952380952
93,1593146298,06-26-2020 06:38:18,3,1,3,0,210,0.059484467944481166,0.05952380952380952
94,1593146303,06-26-2020 06:38:23,3,1,3,0,210,0.059490809842637216,0.05952380952380952
95,1593146307,06-26-2020 06:38:27,1,1,1,0,210,0.059495884334882926,0.05952380952380952
96,1593146309,06-26-2020 06:38:29,5,1,5,0,210,0.059498421905655546,0.05952380952380952
97,1593146318,06-26-2020 06:38:38,3,1,3,0,210,0.059509843653349825,0.05952380952380952
98,1593146321,06-26-2020 06:38:41,1,1,1,0,210,0.0595136518771331,0.05952380952380952
99,1593146325,06-26-2020 06:38:45,9,1,9,0,210,0.059518730267087636,0.05952380952380952
100,1593146331,06-26-2020 06:38:51,2,1,2,1,212,0.05952634947727758,0.05952380952380952
101,1593146335,06-26-2020 06:38:55,5,1,5,0,212,0.05948875517432681,0.05952380952380952
102,1593146341,06-26-2020 06:39:01,0,1,0,0,212,0.05949637217242851,0.05952380952380952
103,1593146350,06-26-2020 06:39:10,0,1,0,0,212,0.059507801327613075,0.05952380952380952
104,1593146354,06-26-2020 06:39:14,4,1,4,0,212,0.05951288236173074,0.05952380952380952
105,1593146359,06-26-2020 06:39:19,8,1,8,0,212,0.05951923487468511,0.05952380952380952
106,1593146365,06-26-2020 06:39:25,4,1,4,1,216,0.05952685968058758,0.05952380952380952
107,1593146369,06-26-2020 06:39:29,3,1,3,0,216,0.05944653228561667,0.05952380952380952
108,1593146370,06-26-2020 06:39:30,4,1,4,0,216,0.059447801669834086,0.05952380952380952
109,1593146375,06-26-2020 06:39:35,10,1,10,0,216,0.05945414940417717,0.05952380952380952
110,1593146380,06-26-2020 06:39:40,2,1,2,0,216,0.05946049849426539,0.05952380952380952
111,1593146385,06-26-2020 06:39:45,12,1,12,0,216,0.059466848940533154,0.05952380952380952
112,1593146392,06-26-2020 06:39:52,3,1,3,0,216,0.05947574184451708,0.05952380952380952
113,1593146399,06-26-2020 06:39:59,5,1,5,0,216,0.059484637408657746,0.05952380952380952
114,1593146402,06-26-2020 06:40:02,2,1,2,0,216,0.05948845060791897,0.05952380952380952
115,1593146404,06-26-2020 06:40:04,0,1,0,0,216,0.05949099301237259,0.05952380952380952
116,1593146409,06-26-2020 06:40:09,8,1,8,0,216,0.05949734997435459,0.05952380952380952
117,1593146414,06-26-2020 06:40:14,11,1,11,0,216,0.05950370829503922,0.05952380952380952
118,1593146421,06-26-2020 06:40:21,4,1,4,0,216,0.05951261222744763,0.05952380952380952
119,1593146427,06-26-2020 06:40:27,6,1,6,0,216,0.0595202462906743,0.05952380952380952
120,1593146432,06-26-2020 06:40:32,8,1,8,1,224,0.05952660950629691,0.05952380952380952
121,1593146435,06-26-2020 06:40:35,6,1,6,0,224,0.05935936364025146,0.05952380952380952
122,1593146438,06-26-2020 06:40:38,6,1,6,0,224,0.05936317173834014,0.05952380952380952
123,1593146439,06-26-2020 06:40:39,4,1,4,0,224,0.05936444121295069,0.05952380952380952
124,1593146444,06-26-2020 06:40:44,1,1,1,0,224,0.05937078940051757,0.05952380952380952
125,1593146449,06-26-2020 06:40:49,0,1,0,0,224,0.05937713894592745,0.05952380952380952
126,1593146453,06-26-2020 06:40:53,4,1,4,0,224,0.05938221956019509,0.05952380952380952
127,1593146460,06-26-2020 06:41:00,7,1,7,0,224,0.05939111272758392,0.05952380952380952
128,1593146464,06-26-2020 06:41:04,2,1,2,0,224,0.05939619573357297,0.05952380952380952
129,1593146467,06-26-2020 06:41:07,5,1,5,0,224,0.059400008559079044,0.05952380952380952
130,1593146471,06-26-2020 06:41:11,7,1,7,0,224,0.05940509308795207,0.05952380952380952
131,1593146475,06-26-2020 06:41:15,2,1,2,0,224,0.0594101784873518,0.05952380952380952
132,1593146481,06-26-2020 06:41:21,2,1,2,0,224,0.05941780821917808,0.05952380952380952
133,1593146488,06-26-2020 06:41:28,7,1,7,0,224,0.05942671205017875,0.05952380952380952
134,1593146497,06-26-2020 06:41:37,5,1,5,0,224,0.05943816375471052,0.05952380952380952
135,1593146499,06-26-2020 06:41:39,3,1,3,0,224,0.05944070917733716,0.05952380952380952
136,1593146503,06-26-2020 06:41:43,3,1,3,0,224,0.05944580067668851,0.05952380952380952
137,1593146509,06-26-2020 06:41:49,2,1,2,0,224,0.059453439561380966,0.05952380952380952
138,1593146513,06-26-2020 06:41:53,3,1,3,0,224,0.05945853324194654,0.05952380952380952
139,1593146517,06-26-2020 06:41:57,2,1,2,0,224,0.059463627795390286,0.05952380952380952
140,1593146521,06-26-2020 06:42:01,5,1,5,0,224,0.05946872322193659,0.05952380952380952
141,1593146523,06-26-2020 06:42:03,2,1,2,0,224,0.059471271262693345,0.05952380952380952
142,1593146531,06-26-2020 06:42:11,3,1,3,0,224,0.05948146560959931,0.05952380952380952
143,1593146535,06-26-2020 06:42:15,6,1,6,0,224,0.059486564093772766,0.05952380952380952
144,1593146535,06-26-2020 06:42:15,0,1,0,0,224,0.059486564093772766,0.05952380952380952
145,1593146538,06-26-2020 06:42:18,1,1,1,0,224,0.0594903885305274,0.05952380952380952
146,1593146541,06-26-2020 06:42:21,7,1,7,0,224,0.05949421345906558,0.05952380952380952
